序号,手机型号,商品编号,cpu,内存/GB,运存/GB,屏幕刷新率/Hz,屏幕尺寸/英寸,充电功率/W,电池容量/mAh,像素,系统,价格/CNY,销量,好评率/%,购买网站
1,Apple iPhone 14 Pro Max,1.00038E+11,A16,256,6,120,6.7,20,4325,4800,ios,9899,200万+,97,https://item.jd.com/100038004359.html
2,Apple iPhone 14 Pro,1.00038E+11,A16,256,6,120,6.1,20,4325,4800,ios,8899,100万+,96,https://item.jd.com/100038004389.html
3,Apple iPhone 14,1.00038E+11,A15,128,6,60,6.1,20,4325,1200,ios,5399,200万+,97,https://item.jd.com/100038004353.html
4,Apple iPhone 13,1.00035E+11,A15,128,4,60,6.1,20,4323,1200,ios,4799,500万+,97,https://item.jd.com/100034710036.html
5,OPPO 一加 Ace 2,1.00043E+11,第一代骁龙?8+移动平台,256,12,120,6.74,100,5000,5000,Android,2699,20万+,97,https://item.jd.com/100042508892.html
6,Redmi Note 12 Turbo,1.00056E+11,高通第二代骁龙7+,1024,16,120,6.67,67,5000,6400,Android,2499,20万+,98,https://item.jd.com/100055556347.html
7,Redmi K60,1.00041E+11,骁龙8+ Gen 1,256,12,120,6.67,67,5000,6400,Android,2399,10万+,98,https://item.jd.com/100041239024.html
8,Redmi Note11T Pro,1.00023E+11,天玑8100,128,8,144,6.6,67,5080,6400,Android,1499,50万+,96,https://item.jd.com/100023150129.html
9,小米 13,1.00049E+11,第二代骁龙8移动平台,256,12,120,6.36,67,4500,5000,Android,4299,20万+,97,https://item.jd.com/100049486729.html
10,Redmi Note 11,1.00028E+11,天玑810,128,6,90,6.6,33,5000,5000,Android,999,100万+,97,https://item.jd.com/100028235472.html
11,小米13Ultra,1.0005E+11,骁龙8 Gen2,1024,16,120,6.73,90,5000,5000,Android,7299,2万+,99,https://item.jd.com/100049739356.html
12,Redmi K60E,1.00041E+11,天玑8200,256,8,120,6.67,67,5500,4800,Android,1699,5万+,97,https://item.jd.com/100041239030.html
13,Redmi K60 Pro,1.00041E+11,第二代骁龙8移动平台,512,12,120,6.67,120,5000,5000,Android,3599,5万+,97,https://item.jd.com/100041239026.html
14,Redmi Note12,1.00045E+11,骁龙4 Gen 1,128,8,120,6.67,33,5000,4800,Android,1299,20万+,98,https://item.jd.com/100044835935.html
15,Redmi K50,1.00035E+11,天玑8100,256,12,120,6.67,67,5500,4800,Android,2199,50万+,96,https://item.jd.com/100035246662.html
16,OPPO K10x 极光,1.00038E+11,骁龙695,256,8,120,6.59,67,5000,6400,Android,1499,20万+,98,https://item.jd.com/100038102967.html
17,OPPO Reno9,1.00047E+11,高通骁龙 778G,256,8,120,6.7,67,4500,6400,Android,2499,10万+,97,https://item.jd.com/100047126801.html
18,OPPO Find X6 Pro,1.00046E+11,骁龙8 Gen2,512,16,120,6.82,100,5000,5000,Android,6999,2万+,98,https://item.jd.com/100046131140.html
19,OPPO K9x,1.00031E+11,天玑810,128,8,90,6.5,33,5000,6400,Android,1099,50万+,98,https://item.jd.com/100031192618.html
20,OPPO Reno9 Pro,1.00047E+11,天玑 8100-MAX,256,16,120,6.7,67,4500,5000,Android,3199,2万+,97,https://item.jd.com/100047126805.html
21,OPPO Reno8,1.00039E+11,天玑1300,256,8,90,6.43,80,4500,5000,Android,1769,10万+,97,https://item.jd.com/100039173190.html
22,OPPO Find X6,1.00046E+11,天玑 9200,256,12,120,6.74,80,4800,5000,Android,4499,1万+,97,https://item.jd.com/100046131184.html
23,OPPO K10,1.00037E+11,天玑8000-MAX,256,12,120,6.59,67,5000,6400,Android,1899,20万+,98,https://item.jd.com/100037468464.html
24,华为U-Magic 50,1.00025E+11,骁龙4,128,8,60,6.5,22.5,5000,800,Android,1019,10万+,98,https://item.jd.com/100025447531.html
25,华为 Mate40E Pro,1.00451E+13,麒麟 9000L,256,8,90,6.76,66,4400,5000,HarmonyOS,4999,2000+,96,https://item.jd.com/10045076629226.html
26,华为 Mate40E,1.00011E+11,麒麟990E,256,8,90,6.5,40,4400,6400,HarmonyOS,4099,10万+,98,https://item.jd.com/100010588189.html
27,华为 Mate40 Pro,1.00231E+13,海思 麒麟 9000,256,8,90,6.76,66,4400,5000,HarmonyOS,7399,5万+,96,https://item.jd.com/10023108638660.html
28,华为 Mate40 RS 保时捷设计,1.00011E+11,麒麟 9000,256,8,90,6.76,66,4400,5000,HarmonyOS,10999,5万+,98,https://item.jd.com/100010667253.html
29,华为 Mate X2,1.0001E+11,麒麟 9001,256,8,90,8,55,4500,5000,HarmonyOS,17799,5万+,98,https://item.jd.com/100010393763.html
30,华为 Mate50 Pro,1.00606E+13,第一代骁龙8+ 4G,256,8,120,6.74,66,4700,6400,HarmonyOS,6499,2万+,98,https://item.jd.com/10060639677388.html
31,华为 P40,67126015774,麒麟 990,256,8,90,6.1,22.5,3700,5000,HarmonyOS,6388,1万+,95,https://item.jd.com/67126015774.html
